isbn,library_url,url_yn
034541005X,https://openlibrary.org/books/OL1024913M/The_power_of_one,1
0385732546,https://openlibrary.org/books/OL3309589M/The_power_of_one,1
0785260056,https://openlibrary.org/books/OL8100123M/The_Power_of_One,1
0471780936,https://openlibrary.org/books/OL3416742M/The_power_of_an_hour,1
0325001537,https://openlibrary.org/books/OL48166M/The_power_of_one,1
006076287X,https://openlibrary.org/books/OL20944560M/How_to_buy_sell_and_profit_on_eBay,1
0470045299,https://openlibrary.org/books/OL18498114M/Ebay_for_dummies,1
0072262788,https://openlibrary.org/books/OL3419264M/What_to_sell_on_eBay_and_where_to_get_it,1
0764569244,https://openlibrary.org/books/OL18396319M/Starting_an_e-Bay_business_for_dummies,1
0471933821,https://openlibrary.org/books/OL7631218M/eBay,1
0764559915,https://openlibrary.org/books/OL23013575M/EBay_timesaving_techniques_for_dummies,1
0764584383,https://openlibrary.org/books/OL23030885M/EBay_business_all-in-one_desk_reference_for_dummies,1
0596523696,https://openlibrary.org/books/OL17928392M/Ruby_cookbook,1
0806523492,https://openlibrary.org/books/OL24395470M/Ruby_Ann's_down_home_trailer_park_cookbook,1
0806525363,https://openlibrary.org/books/OL3575860M/Ruby_Ann's_down_home_trailer_park_BBQin'_cookbook,1
0596527314,https://openlibrary.org/books/OL17933203M/Rails_cookbook,1
0143035002,https://openlibrary.org/books/OL7361482M/Anna_Karenina,1
0451528611,https://openlibrary.org/books/OL3569193M/Anna_Karenina,1
0140449175,https://openlibrary.org/books/OL17138055M/Anna_Karenina,1
0822001837,https://openlibrary.org/books/OL24940302M/Anna_Karenina,1
1593080271,https://openlibrary.org/books/OL3696013M/Anna_Karenina,1
0486437965,https://openlibrary.org/books/OL3306894M/Anna_Karenina,1
1593081774,https://openlibrary.org/books/OL8870221M/Anna_Karenina_(Barnes_Noble_Classics),1
0778322270,https://openlibrary.org/books/OL8081279M/Dinner_With_Anna_Karenina,1
0521313252,https://openlibrary.org/books/OL24769155M/Leo_Tolstoy_Anna_Karenina,1
0140183957,https://openlibrary.org/books/OL25878973M/untouchable,1
0679767479,https://openlibrary.org/books/OL18554897M/The_untouchable,1
1568491980,https://openlibrary.org/books/OL8689505M/The_Untouchables,1
0743270797,https://openlibrary.org/books/OL7948323M/Untouchables,1
0932863051,https://openlibrary.org/books/OL18324336M/Dalit,1
0742508803,https://openlibrary.org/books/OL6783011M/Growing_up_untouchable_in_India,1
0205358624,https://openlibrary.org/books/OL21768926M/The_evidence-based_social_work_skills_book,1
1557344035,https://openlibrary.org/books/OL18333802M/A_guide_for_using_A_wrinkle_in_time_in_the_classroom,1
0380720442,no response found,0
0821925326,https://openlibrary.org/books/OL3559153M/A_wrinkle_in_time,1
043927169X,https://openlibrary.org/books/OL9430209M/Literature_Circle_Guide,1
0606105263,no response found,0
0751506435,https://openlibrary.org/books/OL26165550M/The_Long_Shadow,1
006078671X,https://openlibrary.org/books/OL24968464M/A_long_shadow,1
0743499344,https://openlibrary.org/books/OL7951741M/Long_Way_Round,1
0765313405,https://openlibrary.org/books/OL3402052M/A_shadow_in_summer,1
1400032490,https://openlibrary.org/books/OL3327658M/New_hope_for_the_dead,1
1400032482,https://openlibrary.org/books/OL3309112M/Sideswipe,1
1400032466,https://openlibrary.org/books/OL3382743M/Miami_blues,1
0312424442,https://openlibrary.org/books/OL9618146M/I_Am_Charlotte_Simmons,1
0806930772,https://openlibrary.org/books/OL3941867M/Edward_Lear,1
0140366601,https://openlibrary.org/books/OL7353997M/The_Penguin_Book_of_Nonsense_Verse_(Puffin_Poetry),1
0811201120,https://openlibrary.org/books/OL7999686M/Henry_Miller_on_Writing,1
080213016X,https://openlibrary.org/books/OL21575014M/Quiet_days_in_Clichy,1
0802131786,https://openlibrary.org/books/OL16836812M/Tropic_of_cancer,1
0802151825,https://openlibrary.org/books/OL18006159M/Tropic_of_Capricorn,1
0802151787,https://openlibrary.org/books/OL21574988M/Nexus,1
0802151809,https://openlibrary.org/books/OL18349810M/Sexus,1
0811201066,https://openlibrary.org/books/OL7999681M/The_Air-Conditioned_Nightmare,1
0141439637,https://openlibrary.org/books/OL3707353M/The_portrait_of_a_lady,1
1593080964,https://openlibrary.org/books/OL8870178M/The_Portrait_of_a_Lady_(Barnes_Noble_Classics_Series)_(Barnes_Noble_Classics),1
0375700528,https://openlibrary.org/books/OL67993M/The_lover,1
1565842219,https://openlibrary.org/books/OL8666518M/The_War,1
0394743040,https://openlibrary.org/books/OL2551331M/The_ravishing_of_Lol_Stein,1
080215154X,https://openlibrary.org/books/OL22141871M/Destroy_she_said_Destruction_and_language,1
2070388093,https://openlibrary.org/books/OL19336782M/L'_amant_de_la_Chine_du_Nord,1
1851681825,https://openlibrary.org/books/OL23125013M/Love_letters,1
156656249X,https://openlibrary.org/books/OL8669509M/Kahlil_Gibran,1
014019553X,https://openlibrary.org/books/OL67643M/The_beloved,1
0394431243,https://openlibrary.org/books/OL7460377M/Jesus_the_Son_of_Man,1
0806501901,https://openlibrary.org/books/OL17951333M/The_broken_wings,1
067943920X,https://openlibrary.org/books/OL7699046M/Sand_and_Foam_(Kahlil_Gibran_Pocket_Library),1
0753453800,https://openlibrary.org/books/OL3945425M/Treasure_Island,1
1402714572,https://openlibrary.org/books/OL8393390M/Treasure_Island_(Unabridged_Classics),1
1416500294,https://openlibrary.org/books/OL8456509M/Treasure_Island_(Enriched_Classics),1
0689854684,https://openlibrary.org/books/OL3554513M/Treasure_island,1
0517221144,https://openlibrary.org/books/OL3560063M/Treasure_Island,1
1577658051,https://openlibrary.org/books/OL3955549M/Treasure_Island,1
037576013X,https://openlibrary.org/books/OL3558584M/Daniel_Deronda,1
0933121180,https://openlibrary.org/books/OL8387718M/100_Years_of_Lynchings,1
0060531045,https://openlibrary.org/books/OL7277973M/One_Hundred_Years_of_Solitude,1
0785950109,https://openlibrary.org/books/OL8104162M/Cien_Años_de_Soledad,1
8423919005,https://openlibrary.org/books/OL9118288M/Cien_Años_de_Soledad_100_Years_of_Solitude,1
0394800842,https://openlibrary.org/books/OL20931455M/On_beyond_zebra,1
0821778250,https://openlibrary.org/books/OL25975881M/The_Wedding_Clause,1
0060733039,https://openlibrary.org/books/OL7280557M/The_Zebra_Wall,1
8432216062,https://openlibrary.org/books/OL23132881M/El_perfume,1
0553348981,https://openlibrary.org/books/OL21599309M/Jitterbug_perfume,1
0140120831,https://openlibrary.org/books/OL22123184M/Perfume,1
1582881847,https://openlibrary.org/books/OL8788661M/Off_the_Main_Sequence,1
0345413997,https://openlibrary.org/books/OL9318611M/The_Door_into_Summer,1
0312863551,https://openlibrary.org/books/OL24381288M/The_Moon_Is_A_Harsh_Mistress,1
0441788386,https://openlibrary.org/books/OL26843270M/Stranger_in_a_Strange_Land,1
074348844X,https://openlibrary.org/books/OL7951411M/The_Notebooks_of_Lazarus_Long,1
0441748600,https://openlibrary.org/books/OL24517298M/To_sail_beyond_the_sunset,1
0345316509,https://openlibrary.org/books/OL9428722M/Job,1
0765314932,https://openlibrary.org/books/OL8053619M/Time_for_the_Stars,1
0671742515,https://openlibrary.org/books/OL22250202M/The_long_dark_tea-time_of_the_soul,1
0345455290,https://openlibrary.org/books/OL9544207M/The_Salmon_of_Doubt,1
0345418778,https://openlibrary.org/books/OL9486017M/Mostly_Harmless,1
0345476514,https://openlibrary.org/books/OL25286470M/Wish_you_were_here,1
0345368436,https://openlibrary.org/books/OL25968976M/Douglas_Adamss_Starship_Titanic_A_Novel,1
1417622857,https://openlibrary.org/books/OL11760050M/Salmon_Of_Doubt,1
0394820371,https://openlibrary.org/books/OL21383739M/The_Phantom_Tollbooth,1
0573650969,https://openlibrary.org/books/OL7859630M/The_phantom_tollbooth,1
0691122946,https://openlibrary.org/books/OL7759033M/On_Bullshit,1
0393329402,https://openlibrary.org/books/OL7454394M/Another_Bullshit_Night_in_Suck_City,1
0671867423,https://openlibrary.org/books/OL7666978M/Lincoln_at_Gettysburg,1
0395883970,https://openlibrary.org/books/OL7468387M/The_Gettysburg_Address,1
0684848155,https://openlibrary.org/books/OL22491728M/Underworld,1
0140156046,https://openlibrary.org/books/OL17924842M/Libra,1
0140152741,https://openlibrary.org/books/OL22479217M/Mao_II,1
0140119485,https://openlibrary.org/books/OL2060233M/Americana,1
0679722947,https://openlibrary.org/books/OL7699793M/Running_Dog,1
0743244257,https://openlibrary.org/books/OL7928162M/Cosmopolis,1
0140179178,https://openlibrary.org/books/OL1047480M/Great_Jones_Street,1
0679722955,https://openlibrary.org/books/OL7699794M/The_Names,1
159420120X,https://openlibrary.org/books/OL8875965M/Against_the_Day,1
0060930217,https://openlibrary.org/books/OL7284980M/V._(Perennial_Classics),1
0060931671,https://openlibrary.org/books/OL7285062M/The_Crying_of_Lot_49,1
0140283382,https://openlibrary.org/books/OL6900801M/Gravity's_rainbow,1
0312423209,https://openlibrary.org/books/OL9880544M/Mason_Dixon,1
0141180633,https://openlibrary.org/books/OL17135436M/Vineland,1
0143039946,https://openlibrary.org/books/OL7361806M/Gravity's_Rainbow_(Penguin_Classics_Deluxe_Edition),1
0316724432,https://openlibrary.org/books/OL16622236M/Slow_learner,1
