title,authors,average_rating,isbn,# num_pages
The World Treasury of Physics  Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike,Timothy Ferris,4.12,0316281336,859
The Art of Nonfiction: A Guide for Writers and Readers,Ayn Rand-Robert Mayhew-Peter   Schwartz,3.96,0452282314,192
The Journals of Ayn Rand,Ayn Rand-Leonard Peikoff-David Harriman,3.95,0452278872,752
The Fountainhead,Ayn Rand-Leonard Peikoff,3.86,0451191153,704
The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease  Related Dementing Illnesses  and Memory Loss in Later Life,Nancy L. Mace-Peter V. Rabins,4.24,0446618764,624
The 3-Hour Diet: On the Go,Jorge Cruise,3.08,0060793198,192
The Last Hours of Ancient Sunlight: The Fate of the World and What We Can Do Before It's Too Late,Thom Hartmann-Joseph Chilton Pearce-Neale Donald Walsch,4.22,1400051576,400
The Hours,Michael Cunningham,3.93,1841150355,230
Specimen Days,Michael Cunningham,3.58,0312425023,336
A Home at the End of the World,Michael Cunningham,3.9,0312424086,342
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.92,0316172324,277
Blink,Ted Dekker,4.17,0849945119,400
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.92,073945529X,296
Blink-182: Tales from Beneath Your Mom,Mark Hoppus-Anne Hoppus-Alex Gaskarth,4.4,0743422074,112
The Complete Novels,Jane Austen-Hugh  Thomson,4.55,0517147688,1103
The Jane Austen Book Club,Karen Joy Fowler,3.08,0452286530,288
Jane Austen: The Complete Novels,Jane Austen,4.55,0517118297,1103
Jane Austen's Letters,Jane Austen-Deirdre Le Faye,4.15,0192832972,672
Persuasion,Jane Austen-James Kinsley-Maurgaux Motin-Deidre Shauna Lynch,4.13,0192802631,249
Tea with Jane Austen,Kim Wilson-Tom Carpenter,3.78,097212179X,128
The Old Man and the Sea,Ernest Hemingway,3.76,0684830493,132
The Old Man and the Sea,Ernest Hemingway-Donald Sutherland,3.76,0743564367,3
Cliffs Notes on Hemingway's The Old Man and the Sea,Jeanne Sallade Criswell-Gary Carey,2.83,0764586602,80
The Old Man and the Sea,Ernest Hemingway,3.76,0684718057,127
The Old Man and the Sea,Ernest Hemingway,3.76,0684163268,127
Madame Bovary,Gustave Flaubert-Malcolm Bowie-Margaret Mauldon-Tomás de C.  Duran-Mark Overstall-Victor Villarraza,3.66,0192840398,329
Flaubert's Parrot,Julian Barnes,3.66,0679731369,190
Flaubert in Egypt: A Sensibility on Tour,Gustave Flaubert-Francis Steegmuller-Eugène Delacroix,3.63,0140435824,230
A Sentimental Education,Gustave Flaubert-Douglas Parmée,3.83,0192836226,464
Madame Bovary,Gustave Flaubert-Mildred Marmur-Robin Morgan,3.66,0451528204,448
Three Tales,Gustave Flaubert-Roger Whitehouse-Geoffrey Wall,3.71,0140448004,110
Sentimental Education,Gustave Flaubert-Robert Baldick-Geoffrey Wall,3.83,0140447970,460
The Family Idiot 5: Gustave Flaubert 1821-1857,Jean-Paul Sartre-Carol Cosman,3.8,0226735192,632
Middlesex,Jeffrey Eugenides,3.99,0312422156,529
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,0743270754,916
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,1419364621,42
John Adams,David McCullough,4.06,0743223136,751
The John Adams Reader: Eseential Writings on an American Composer,Thomas May-John   Adams,3.5,1574671324,455
The Letters of John and Abigail Adams,Abigail Adams-Frank Shuffelton,4.17,0142437115,512
The Portable John Adams,John  Adams-John Patrick Diggins,4.11,0142437786,533
Sex For Dummies,Ruth Westheimer,3.62,076455302X,432
Baby Signing For Dummies,Jennifer Watson,3.63,0471773867,257
The Feeling Good Handbook,David D. Burns,4.0,0452281326,729
On Death and Dying,Elisabeth Kübler-Ross,4.16,0684842238,288
Questions and Answers on Death and Dying: A Companion Volume to On Death and Dying,Elisabeth Kübler-Ross,4.08,0684839377,192
The Last Dance: Encountering Death and Dying,Lynne Ann DeSpelder-Albert Lee Strickland,3.77,0072920963,664
Mahatma Gandhi and His Myths: Civil Disobedience  Nonviolence  and Satyagraha in the Real World (Plus Why It's Gandhi  Not Ghandi),Mark Shepard,3.64,0938497197,46
The Seven Habits of Highly Effective People,Stephen R. Covey,4.09,0671708635,368
The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,4.22,0743250974,192
Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day,Stephen R. Covey,3.9,0671887173,384
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4.14,1932073205,240
Secret of the Peaceful Warrior,Dan Millman-Robert D. San Souci-T. Taylor Bruce,4.18,0915811235,32
It's Not about the Bike: My Journey Back to Life,Lance Armstrong-Sally Jenkins,3.72,0425179613,294
23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson-Graham   Watson,3.67,0306814552,344
Truman,David McCullough,4.11,0671869205,1120
The Complete Stories of Truman Capote,Truman Capote-Reynolds Price,4.2,140009691X,320
Breakfast at Tiffany's: A Short Novel and Three Stories,Truman Capote,3.89,067960085X,162
Murder at The Washington Tribune (Capital Crimes  #21),Margaret Truman,3.58,0345478207,384
Murder at Ford's Theatre (Capital Crimes  #19),Margaret Truman,3.72,0449007383,376
Other Voices  Other Rooms,Truman Capote,3.81,0679745645,232
In Cold Blood,Truman Capote-Scott Brick,4.07,073933364X,15
Emergence: The Connected Lives of Ants  Brains  Cities  and Software,Steven Johnson,3.96,0684868768,288
Emergence: Labeled Autistic,Temple Grandin-Margaret M. Scariano,4.07,0446671827,200
Emergence,David R. Palmer,4.16,0553245015,291
The Emergence of Life on Earth: A Historical and Scientific Overview,Iris Fry,4.06,0813527406,344
The Ghost Stories of Edith Wharton,Edith Wharton-Laszlo Kubinyi,3.89,0684842572,303
Novels: The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,Edith Wharton-R.W.B. Lewis,4.3,0940450313,1328
Collected Stories  1911-1937,Edith Wharton-Maureen Howard,4.28,1883011949,848
Novellas and Other Writings: Madame de Treymes / Ethan Frome / Summer / Old New York / The Mother’s Recompense / A Backward Glance,Edith Wharton-Cynthia Griffin Wolff,4.2,0940450534,1137
The House of Mirth,Edith Wharton,3.95,0486420493,272
Below the Root (Green Sky  #1),Zilpha Keatley Snyder-Alton Raible,4.09,0689304579,231
The Witches of Worm,Zilpha Keatley Snyder,3.68,0440802504,183
The Deeper Meaning of Liff,Douglas Adams-John Lloyd,3.93,0307236013,192
Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,3.98,1597770078,6
The Letters of J.R.R. Tolkien,J.R.R. Tolkien-Humphrey Carpenter-Christopher Tolkien,4.14,0618056998,502
The History of the Lord of the Rings (The History of Middle-earth #6-9),J.R.R. Tolkien-Christopher Tolkien,4.38,0618083553,1680
The Languages of Tolkien's Middle-Earth,Ruth S. Noel-J.R.R. Tolkien,3.97,0395291305,207
The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,0618574999,1438
Farmer Giles of Ham,J.R.R. Tolkien-Christina Scull-Wayne G. Hammond,3.84,0618009361,127
Matthew Flinders' Cat,Bryce Courtenay,3.8,0670910619,611
Whitethorn,Bryce Courtenay,4.07,067002922X,683
Solomon's Song (The Potato Factory  #3),Bryce Courtenay,4.01,0140271570,671
Cold Counsel: Women in Old Norse Literature and Myth,Sarah M.  Anderson-Karen Swenson,3.61,0815319665,320
Brave Companions: Portraits in History,David McCullough,3.98,0671792768,240
Mornings on Horseback: The Story of an Extraordinary Family  a Vanished Way of Life  and the Unique Child Who Became Theodore Roosevelt,David McCullough,4.12,0671447548,445
John Adams,David McCullough,4.06,0684813637,752
The Johnstown Flood,David McCullough,4.1,0844662925,302
The Path Between the Seas: The Creation of the Panama Canal  1870-1914,David McCullough,4.19,0743262131,697
The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4.19,0451188454,528
The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4.19,0340682116,467
El Coleccionista De Huesos (Lincoln Rhyme  #1),Jeffery Deaver,4.19,8466305130,640
Moby Dick,Herman Melville-William Hootkins,3.49,9626343583,25
Moby-Dick,Jan Needle-Patrick Benson-Herman Melville,3.72,0763630187,192
Moby Dick,Herman Melville-William Hootkins,3.49,0143058096,6
Moby-Dick,Herman Melville-Carl F. Hovde,3.49,1593080182,707
Herman Melville's Moby-Dick: A Routledge Study Guide and Sourcebook,Michael J. Davey-Duncan Wu,3.61,0415247713,208
Moby Dick: or The White Whale (Oxford Illustrated Classics),Geraldine McCaughrean-Victor G. Ambrus-Herman Melville,3.85,0192781537,104
My Moby Dick,William Humphrey,4.15,0701124229,96
Melville's Moby Dick: An American Nekyia (Studies in Jungian Psychology by Jungian Analysts),Edward F. Edinger,3.84,0919123708,156
Moby Dick: Or  the White Whale (Oxford Illustrated Classics Series),Geraldine McCaughrean-Victor G. Ambrus-Herman Melville,3.85,019274156X,102
Moby Dick,Herman Melville,3.49,0671463713,248
Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,3.33,0252063023,164
"Unpainted to the Last: ""Moby Dick"" and Twentieth-century American Art",Elizabeth A. Schultz,4.28,0700607420,400
In the Heart of the Sea: The Epic True Story That Inspired Moby-Dick,Nathaniel Philbrick,4.16,0006531202,302
Double Tap (Paul Madriani  #8),Steve Martini,3.91,0515139734,401
The List,Steve Martini,3.96,0515121495,451
Witches Abroad (Discworld  #12; Witches #3),Terry Pratchett,4.23,0061020613,374
The Innocents Abroad,Mark Twain,3.86,0812967054,560
Teaching English Abroad,Susan  Griffith,3.59,1854583522,576
Theocritus: Select Poems: Select Poems,Theocritus-Kenneth James Dover,3.0,0862921473,395
The Shield. Catalogue of Women. Other Fragments. (Hesiod II),Hesiod-Glenn W. Most,4.03,0674996232,434
Death and the King's Horseman,Wole Soyinka-Simon Gikandi,3.76,0393977617,254
Learning to Love: Exploring Solitude and Freedom,Thomas Merton-Christine M. Bochen,4.5,0060654856,382
The Time Machine,H.G. Wells-Greg Bear-Carlo Pagetti,3.88,0451528557,118
The Time Machine,H.G. Wells-Patrick Parrinder-Steven McLean-Marina Warner,3.88,0141439971,104
The Time Machine,H.G. Wells-Cynthia Brantley Johnson-Benjamin Beard,3.88,0743487737,150
The Time Machine Did It,John Swartzwelder,3.84,0975579908,138
The Ultimate Time Machine: A Remote Viewer's Perception of Time & Predictions for the New Millennium,Joseph McMoneagle,3.49,157174102X,275
The Time Machine,H.G. Wells-Melvin Burgess,3.88,0439436540,123
The Complete Short Stories,H.G. Wells-John R. Hammond,4.14,1842124021,864
Selected Stories,H.G. Wells-Ursula K. Le Guin,3.98,0812970756,432
Tono-Bungay,H.G. Wells-Edward Mendelson-Patrick Parrinder,3.42,0141441119,414
The Name of the Rose (Everyman's Library (Cloth)),Umberto Eco,4.12,0307264890,560
In the Name of Jesus: Reflections on Christian Leadership,Henri J.M. Nouwen,4.35,0824512596,120
Blood Done Sign My Name: A True Story,Timothy B. Tyson,4.15,1400083117,368
Blindness,José Saramago-Giovanni Pontiero,4.11,0156007754,326
The Gospel According to Jesus Christ,José Saramago-Giovanni Pontiero,4.28,0156001411,377
All the Names,José Saramago-Margaret Jull Costa,3.89,0156010593,245
The Tale of the Unknown Island,José Saramago-Peter Sís-Margaret Jull Costa,3.89,0156013037,64
Baltasar and Blimunda,José Saramago-Giovanni Pontiero,3.91,0156005204,346
The Cave,José Saramago-Margaret Jull Costa,3.83,0156028794,307
The Stone Raft,José Saramago-Giovanni Pontiero,3.8,0156004011,292
The Year of the Death of Ricardo Reis,José Saramago-Giovanni Pontiero,4.03,1860465021,384
El hombre duplicado,José Saramago-Pilar del Río,3.88,8466312803,380
Ensayo sobre la lucidez,José Saramago-Pilar del Río,3.79,8466314741,461
La caverna,José Saramago-Pilar del Río,3.83,846630679X,441
The History of the Siege of Lisbon,José Saramago-Giovanni Pontiero,3.8,0156006243,314
Las intermitencias de la muerte,José Saramago-Pilar del Río,3.99,9587043642,274
The Treasured Writings of Kahlil Gibran,Kahlil Gibran,4.42,089009389X,902
The Prophet,Kahlil Gibran-جبران خليل جبران,4.23,000100039X,127
A Tear and a Smile,Kahlil Gibran-جبران خليل جبران-H.M. Nahmad-Robert Hillyer,4.03,0394448049,228
On the Road,Jack Kerouac,3.63,0143036386,320
On the Road,Jack Kerouac-Ann Charters,3.63,0141182679,281
De Kooning: An American Master,Mark Stevens-Annalyn Swan,4.11,0375711163,732
Willem de Kooning: Late Paintings,Julie Sylvester-David Sylvester,5.0,382960226X,83
Aké: The Years of Childhood,Wole Soyinka,3.92,0679725407,230
The Interpreters,Wole Soyinka,3.56,0233989781,251
The Lion and the Jewel,Wole Soyinka,3.8,0199110832,65
Ready for Anything: 52 Productivity Principles for Getting Things Done,David    Allen,3.83,0143034545,165
The Facilitator's Book of Questions: Tools for Looking Together at Student and Teacher Work,David  Allen-Tina Blythe-Gene Thompson-Grove,3.96,0807744689,142
Sun Tzu and the Art of Business: Six Strategic Principles for Managers,Sun Tzu-Mark McNeilly,3.84,0195137892,272
Marketing Warfare,Al Ries-Jack Trout,4.1,0071460829,216
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.95,0316346624,301
Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You.,Seth Godin-Malcolm Gladwell,3.99,0786887176,234
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,3.99,0060521996,286
Great Expectations,Charles Dickens-David Trotter-Charlotte Mitchell,3.76,0141439564,512
Great Expectations,Charles Dickens-Marisa Sestino,3.76,0192833596,505
Great Expectations: Authoritative Text  Backgrounds  Contexts  Criticism,Charles Dickens-Edgar Rosenberg,3.76,0393960692,776
Luther and Erasmus: Free Will and Salvation (Library of Christian Classics),Erasmus-Martin Luther-Philip S. Watson-E. Gordon Rupp,3.81,0664241581,364
To Kill a Mockingbird,Harper Lee,4.27,0060935464,323
To Kill a Mockingbird,Harper Lee-Sissy Spacek,4.27,0060888695,11
To Kill a Mockingbird (To Kill A Mockingbird #1),Harper Lee,4.27,044508376X,281
To Kill a Mockingbird,Harper Lee,4.27,0061205699,323
The Bonfire of the Vanities,Tom Wolfe,3.84,0553381342,690
The Wealthy Barber: Everyone's Common-Sense Guide to Becoming Financially Independent,David H. Chilton,4.02,0761501665,199
The Wealthy Barber: The Common Sense Guide to Successful Financial Planning,David Chilton,4.02,0773762167,197
A Modest Proposal and Other Satirical Works,Jonathan Swift,4.05,0486287599,64
Gulliver's Travels / A Modest Proposal,Jonathan Swift-Jesse Gale,3.79,1416500391,416
Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C.-Xavier de C.-Joseph Rowe,4.75,1556434952,144
Collected Travel Writings: The Continent: A Little Tour in France / Italian Hours / Other Travels,Henry James-Richard Howard,3.7,0940450771,868
The Bostonians,Henry James-R.D. Gooder,3.59,0192834428,504
Novels 1896–1899: The Other House / The Spoils of Poynton / What Maisie Knew / The Awkward Age,Henry James-Myra Jehlen,4.25,1931082308,1035
Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James-Leo Bersani,4.68,193108288X,713
Complete Stories 1892–1898,Henry James-John Hollander-David Bromwich,4.23,1883011094,958
The New York Stories of Henry James,Henry James-Colm Tóibín,4.04,1590171624,563
The Canterbury Tales,Geoffrey Chaucer-Nevill Coghill,3.49,0140424385,504
The Canterbury Tales,Geoffrey Chaucer-David  Wright,3.49,019283360X,465
The Canterbury Tales (original-spelling edition),Geoffrey Chaucer-Jill Mann,3.49,014042234X,1254
Chaucer's Canterbury Tales (Selected): An Interlinear Translation,Geoffrey Chaucer-Vincent Foster Hopper,3.75,0812000390,530
Oxford Guides to Chaucer: The Canterbury Tales,Helen  Cooper,4.01,0198711557,456
Love Visions,Geoffrey Chaucer-Brian Stone,3.58,0140444084,272
Chaucer's Canterbury Tales,Geoffrey Chaucer,3.49,0671475029,383
The Riverside Chaucer,Geoffrey Chaucer-Larry Dean Benson-F.N. Robinson,4.18,0395290317,1327
The Portable Chaucer,Geoffrey Chaucer-Theodore Morrison,3.86,0140150811,611
Salt: A World History,Mark Kurlansky,3.74,0142001619,484
Salt in His Shoes: Michael Jordan in Pursuit of a Dream,Deloris Jordan-Kadir Nelson-Roslyn M. Jordan,4.21,0689834195,32
The Book of Salt,Monique Truong,3.51,0618446885,261
Cities of Salt,Abdul Rahman Munif-Peter Theroux-Abdelrahman Munif,4.1,039475526X,627
The Years of Rice and Salt,Kim Stanley Robinson,3.73,0553580078,763
Illuminations: Essays and Reflections,Walter Benjamin-Hannah Arendt-Harry Zohn-Leon Wieseltier,4.29,0805202412,288
Saul Steinberg: Illuminations,Saul Steinberg-Joel Smith-Charles Simic,4.46,0300115865,288
Advanced Global Illumination,Philip Dutre,4.47,1568813074,366
Snow Falling On Cedars,David Guterson,3.83,074754655X,404
The Lost Boy (Dave Pelzer #2),Dave Pelzer,4.09,1558745157,331
Anansi Boys,Neil Gaiman,4.02,0060515198,387
Real Boys: Rescuing Our Sons from the Myths of Boyhood,William S. Pollack-Mary Pipher,3.82,0805061835,480
Microserfs,Douglas Coupland,3.88,0060987049,371
Microserfs,Douglas Coupland,3.88,0007179812,371
Microserfs,Douglas Coupland,3.88,0006548598,371
The Language of New Media,Lev Manovich,3.85,0262632551,354
New Media Language,Jean Aitchison-Diana M. Lewis,3.0,0415283043,209
The Denial of Death,Ernest Becker-Sam Keen-Daniel Goleman,4.17,0684832402,336
A People's History of the United States,Howard Zinn,4.08,0060838655,729
A People's History of the United States,Howard Zinn-Kathy Emery-Ellen Gordon Reeves,4.08,1565848268,619
A People's History of the United States: The Civil War to the Present,Howard Zinn-Kathy Emery-Ellen Gordon Reeves,4.0,1565847253,496
Graphic Design: A Concise History (World of Art),Richard Hollis,3.99,0500203474,232
Immigrant Acts: On Asian American Cultural Politics,Lisa Lowe,4.0,0822318644,272
Ways of Seeing,John Berger,3.78,0140135154,176
The Old Way of Seeing: How Architecture Lost Its Magic - And How to Get It Back,Jonathan Hale,3.89,039574010X,256
The Crying of Lot 49,Thomas Pynchon,3.7,006091307X,152
E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,4.09,0425181642,337
Passionate Minds,David Bodanis,4.08,0307237206,373
Christian Mythmakers: C.S. Lewis  Madeleine L'Engle  J.R.R. Tolkien  George MacDonald  G.K. Chesterton  Charles Williams  Dante Alighieri  John Bunyan  Walter Wangerin  Robert Siegel  and Hannah Hurnard,Rolland Hein-Clyde S. Kilby,3.93,094089548X,303
A House Like a Lotus (O'Keefe Family  #3),Madeleine L'Engle,3.76,0440936853,307
The Time Quartet (A Wrinkle in Time  A Wind in the Door  A Swiftly Tilting Planet  Many Waters),Madeleine L'Engle,4.35,0739439707,646
The Rock That Is Higher: Story as Truth,Madeleine L'Engle,4.13,0877887268,320
A Full House: An Austin Family Christmas (Austin Family  #5.6),Madeleine L'Engle-Mary Chambers,3.99,0877880204,48
A Circle of Quiet (Crosswicks Journals #1),Madeleine L'Engle,4.21,0062545035,246
The Birth of Tragedy and Other Writings,Friedrich Nietzsche-Raymond Geuss-Ronald Speirs,4.02,0521639875,204
The Birth of Tragedy/The Genealogy of Morals,Friedrich Nietzsche-Francis Golffing,4.0,0385092105,320
The Birth of Tragedy,Friedrich Nietzsche,3.98,1419154079,84
The Birth of Tragedy,Friedrich Nietzsche-Michael Tanner-Shaun Whiteside,3.98,0140433392,160
The Life and Death of Carthage; A Survey of Punic History and Culture from Its Birth to the Final Tragedy,Gilbert Picard,4.0,0283352558,362
The Tragedy of Pudd'nhead Wilson/Those Extraordinary Twins,Mark Twain-David Lionel Smith-Sherley Anne Williams,3.79,0195114159,512
The Tragedy of Pudd'nhead Wilson,Mark Twain-Michael Prichard,3.79,140015068X,0
Bridge to Terabithia,Katherine Paterson-Donna Diamond,3.99,0060734019,191
Bridge to Terabithia,Katherine Paterson,3.99,0439366771,128
Bridge to Terabithia,Katherine Paterson,3.99,0440841216,128
Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,5.0,0439271711,32
The Great Gilly Hopkins,Katherine Paterson,3.84,0380652196,148
Bread and Roses  Too,Katherine Paterson,3.76,0618654798,275
Blueberries for the Queen,John  Paterson-Katherine Paterson-Susan Jeffers,3.76,0066239427,32
The Invisible Child,Katherine Paterson,4.26,0525464824,266
A Short History of Decay,Emil M. Cioran-Richard Howard,4.26,1559704640,186
Scholar of Decay (Ravenloft  #14),Tanya Huff,3.44,078690206X,313
Girl with a Pearl Earring,Tracy Chevalier,3.87,0452284937,233
Girl with a Pearl Earring,Tracy Chevalier,3.87,0452287022,233
Girl With a Pearl Earring,Tracy Chevalier,3.87,0006513204,248
The Golden Tulip,Rosalind Laker,3.92,0385415605,585
Burning Bright,Tracy Chevalier,3.36,052594978X,320
Falling Angels,Tracy Chevalier,3.57,0452283205,336
The Virgin Blue,Tracy Chevalier,3.66,0452284449,304
The Lady and the Unicorn,Tracy Chevalier,3.68,0965903532,0
Wenn Engel fallen,Tracy Chevalier,3.57,3471772537,384
Tom Hunter: Living in Hell and Other Stories,Tom Hunter-Tracy Chevalier-Colin Wiggins,3.58,1857093313,80
Bleach  Volume 15,Tite Kubo,4.42,1421506130,208
Bleach  Volume 01,Tite Kubo,4.22,1591164419,200
Bleach  Volume 14,Tite Kubo,4.38,1421506122,208
Bleach  Volume 11,Tite Kubo,4.36,1421502712,208
Bleach  Volume 12,Tite Kubo,4.36,1421504030,208
デスノート 1: (退屈) [Desu Nōto: Taikutsu]  (Death Note  #1),Tsugumi Ohba-Takeshi Obata,4.43,4088736214,195
Death Note  Vol. 4: 恋心 (Death Note  #4),Tsugumi Ohba-Takeshi Obata,4.39,4088736710,204
Death Note  Vol. 3: 激走 (Death Note  #3),Tsugumi Ohba-Takeshi Obata,4.43,4088736524,194
The Love Artist,Valerie Parv,3.25,0263755819,187
Love Artist (Harlequin Romance #2860),Valerie Parv,3.25,0373028601,187
Perfume: The Story of a Murderer,Patrick Süskind-John E. Woods,4.02,0307277763,255
Das Parfum: Die Geschichte eines Mörders,Patrick Süskind,4.02,3257228007,321
Three Stories and a Reflection,Patrick Süskind,3.57,0747534934,128
The Pigeon,Patrick Süskind,3.68,0140105832,77
The Story of Mr Sommer,Patrick Süskind-Jean-Jacques Sempé,3.85,0747566755,128
Bleach―ブリーチ― 1 [Burīchi 1] (Bleach  #1),Tite Kubo,4.22,4088732138,189
Bleach  Tome 1: The Death and the Strawberry,Tite Kubo,4.22,2723442276,192
The Worm Ouroboros,E.R. Eddison-Orville Prescott-James Stephens-Keith  Henderson,3.7,3452200131,520
Escape from Fire Mountain (World of Adventure  #3),Gary Paulsen-Steve Chorney,3.7,0440410258,80
How Angel Peterson Got His Name,Gary Paulsen,3.93,0440229359,111
Tucket's Travels: Francis Tucket's Adventures In The West  1847-1849 (The Tucket Adventures  #1-5),Gary Paulsen,4.43,0440419670,560
Chicago Blues: The City and the Music,Mike  Rowe-Ronald Radano,3.88,0306801450,226
Winterdance: The Fine Madness of Running the Iditarod,Gary Paulsen,4.25,0156001454,272
Brian's Winter,Gary Paulsen,4.01,0385321988,133
Robinson Crusoe,Daniel Defoe-Gerald McCann-Virginia Woolf,3.67,0375757325,320
Robinson Crusoe,Daniel Defoe-John J. Richetti,3.67,0141439823,286
Robinson Crusoe,Daniel Defoe-Michael Shinagel,3.67,0393964523,436
Robinson Crusoe,Daniel Defoe,3.67,0760704023,397
Robinson Crusoe,Daniel Defoe-Avi,3.67,0689844085,482
Robinson Crusoe,Daniel Defoe,3.67,1587263882,288
A General History of the Pyrates,Daniel Defoe-Manuel Schonhorn-Charles   Johnson,3.79,0486404889,733
Huck Finn & Tom Sawyer among the Indians & Other Unfinished Stories (Mark Twain Library),Mark Twain-Paul Baender-Dahlia Armon-Walter Blair,3.85,0520238958,389
Huck Finn and Tom Sawyer Among the Indians,Mark Twain-Lee Nelson,3.59,1555176801,277
Huck Finn/Pudd'nhead Wilson/No 44 Mysterious Stranger other Writings,Mark Twain-Guy Cardwell-Louis J. Budd,4.06,1883011884,808
The Adventures of Huckleberry Finn,Mark Twain-Guy Cardwell-John Seelye,3.81,0142437174,327
Adventures of Huckleberry Finn,Mark Twain-E.W. Kemble,3.81,0486443221,368
Adventures of Huckleberry Finn,Mark Twain-George Saunders,3.81,0375757376,244
The Annotated Huckleberry Finn,Mark Twain-Michael Patrick Hearn-E.W. Kemble,3.81,0393020398,656
The Wit and Wisdom of Mark Twain,Mark Twain,4.2,0486406644,64
Mark Twain's Helpful Hints for Good Living: A Handbook for the Damned Human Race,Mark Twain-Lin Salamo-Victor Fischer-Michael B. Frank,3.86,0520242459,221
The Complete Short Stories of Mark Twain,Mark Twain-Charles Neider,4.28,0553211951,848
The Autobiography of Mark Twain,Mark Twain-Charles Neider,4.05,0060955422,508
Collected Tales  Sketches  Speeches  & Essays 1891–1910,Mark Twain-Louis J. Budd,4.39,0940450739,1050
The Kite Runner,Khaled Hosseini,4.28,1594481776,383
Drageløberen,Khaled Hosseini-Alis Friis Caspersen,4.28,8777147200,258
Lost Horizon,James Hilton,3.92,0060594527,241
Louisa May Alcott's Christmas Treasury,Louisa May Alcott-C. Michael Dudash-Stephen W. Hines,3.95,1589199502,282
Behind a Mask: The Unknown Thrillers of Louisa May Alcott,Louisa May Alcott-Madeleine B. Stern,3.76,0688151329,281
My Secret Garden: Women's Sexual Fantasies,Nancy Friday,3.68,0671019872,361
The Secret Garden,Frances Hodgson Burnett,4.13,0517189607,331
The Secret Garden,Frances Hodgson Burnett-Sandra M. Gilbert,4.13,0451528832,281
The Secret Garden,Martha Hailey DuBose-Frances Hodgson Burnett-Lucy Corvino-Arthur Pober,4.3,1402713193,160
The Secret Garden,Frances Hodgson Burnett-Alison Lurie,4.13,0142437050,288
A Little Princess,Frances Hodgson Burnett-Nancy Bond,4.19,0142437018,242
The Secret Garden Cookbook: Recipes Inspired by Frances Hodgson Burnett's The Secret Garden,Amy Cotler-Frances Hodgson Burnett-Prudence See,4.28,0060277408,128
Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,4.31,0465081452,448
Basic Economics: A Common Sense Guide to the Economy,Thomas Sowell,4.31,0465002609,627
Black Rednecks and White Liberals,Thomas Sowell,4.36,1594030863,372
Applied Economics: Thinking Beyond Stage One,Thomas Sowell,4.14,0465081436,256
Knowledge And Decisions,Thomas Sowell,4.38,0465037380,422
A Conflict of Visions: Ideological Origins of Political Struggles,Thomas Sowell,4.32,0465081428,304
Sir Gawain and the Green Knight/Pearl/Sir Orfeo,Unknown-J.R.R. Tolkien-Christopher Tolkien,3.97,0345277600,214
Sir Gawain and the Green Knight,Selina Shirley Hastings-Juan Wijngaard,3.89,0744520053,29
Alcoholics Anonymous,Alcoholics Anonymous,4.44,0916856593,250
Alcoholics Anonymous,Alcoholics Anonymous,4.44,1893007162,576
The Twelve Steps & Twelve Traditions of Overeaters Anonymous,Overeaters Anonymous,4.37,0960989862,221
The Natural Way to Draw,Kimon Nicolaides-Mamie Harmon,3.88,0395530075,240
Natural Health  Natural Medicine,Andrew Weil,4.12,0618479031,448
The Fixer,Bernard Malamud-Jonathan Safran Foer,3.95,0374529388,335
The Complete Stories,Bernard Malamud-Robert Giroux,4.25,0374525757,656
The Assistant,Bernard Malamud-Jonathan Rosen,3.88,0374504849,246
Conversations with Bernard Malamud (Literary Conversations),Lawrence M. Lasher,4.0,0878054901,184
The Tenants,Bernard Malamud-Aleksandar Hemon,3.66,0374521026,248
